NumTechs 2
Tech TA 250
LibCell MC1 69 176
LibCell MC2 140 176
LibCell MC3 72 176
LibCell MC4 73 176
LibCell MC5 116 176
LibCell MC6 51 176
LibCell MC7 134 176
LibCell MC8 134 176
LibCell MC9 113 176
LibCell MC10 159 176
LibCell MC11 135 176
LibCell MC12 162 176
LibCell MC13 448 176
LibCell MC14 380 176
LibCell MC15 492 176
LibCell MC16 497 176
LibCell MC17 359 176
LibCell MC18 472 176
LibCell MC19 539 176
LibCell MC20 563 176
LibCell MC21 449 176
LibCell MC22 407 176
LibCell MC23 694 176
LibCell MC24 520 176
LibCell MC25 538 176
LibCell MC26 516 176
LibCell MC27 224 176
LibCell MC28 138 176
LibCell MC29 159 176
LibCell MC30 117 176
LibCell MC31 162 176
LibCell MC32 118 176
LibCell MC33 117 176
LibCell MC34 179 176
LibCell MC35 158 176
LibCell MC36 426 176
LibCell MC37 565 176
LibCell MC38 134 176
LibCell MC39 90 176
LibCell MC40 337 176
LibCell MC41 538 176
LibCell MC42 341 176
LibCell MC43 449 176
LibCell MC44 96 176
LibCell MC45 69 176
LibCell MC46 183 176
LibCell MC47 71 176
LibCell MC48 72 176
LibCell MC49 117 176
LibCell MC50 249 176
LibCell MC51 136 176
LibCell MC52 136 176
LibCell MC53 116 176
LibCell MC54 118 176
LibCell MC55 47 176
LibCell MC56 50 176
LibCell MC57 180 176
LibCell MC58 139 176
LibCell MC59 250 176
LibCell MC60 136 176
LibCell MC61 67 176
LibCell MC62 185 176
LibCell MC63 92 176
LibCell MC64 140 176
LibCell MC65 91 176
LibCell MC66 112 176
LibCell MC67 71 176
LibCell MC68 202 176
LibCell MC69 206 176
LibCell MC70 230 176
LibCell MC71 140 176
LibCell MC72 183 176
LibCell MC73 89 176
LibCell MC74 94 176
LibCell MC75 248 176
LibCell MC76 207 176
LibCell MC77 117 176
LibCell MC78 95 176
LibCell MC79 182 176
LibCell MC80 71 176
LibCell MC81 364 176
LibCell MC82 115 176
LibCell MC83 116 176
LibCell MC84 72 176
LibCell MC85 94 176
LibCell MC86 204 176
LibCell MC87 69 176
LibCell MC88 205 176
LibCell MC89 363 176
LibCell MC90 112 176
LibCell MC91 115 176
LibCell MC92 295 176
LibCell MC93 225 176
LibCell MC94 117 176
LibCell MC95 140 176
LibCell MC96 180 176
LibCell MC97 249 176
LibCell MC98 94 176
LibCell MC99 134 176
LibCell MC100 179 176
LibCell MC101 182 176
LibCell MC102 272 176
LibCell MC103 118 176
LibCell MC104 224 176
LibCell MC105 136 176
LibCell MC106 91 176
LibCell MC107 141 176
LibCell MC108 136 176
LibCell MC109 68 176
LibCell MC110 113 176
LibCell MC111 94 176
LibCell MC112 135 176
LibCell MC113 114 176
LibCell MC114 160 176
LibCell MC115 227 176
LibCell MC116 138 176
LibCell MC117 203 176
LibCell MC118 118 176
LibCell MC119 134 176
LibCell MC120 269 176
LibCell MC121 139 176
LibCell MC122 183 176
LibCell MC123 229 176
LibCell MC124 89 176
LibCell MC125 476 176
LibCell MC126 362 176
LibCell MC127 225 176
LibCell MC128 696 176
LibCell MC129 336 176
LibCell MC130 207 176
LibCell MC131 228 176
LibCell MC132 183 176
LibCell MC133 117 176
LibCell MC134 185 176
LibCell MC135 453 176
LibCell MC136 429 176
LibCell MC137 182 176
LibCell MC138 429 176
LibCell MC139 227 176
LibCell MC140 69 176
LibCell MC141 136 176
LibCell MC142 115 176
LibCell MC143 115 176
LibCell MC144 112 176
LibCell MC145 201 176
LibCell MC146 185 176
LibCell MC147 94 176
LibCell MC148 359 176
LibCell MC149 184 176
LibCell MC150 226 176
LibCell MC151 93 176
LibCell MC152 184 176
LibCell MC153 72 176
LibCell MC154 140 176
LibCell MC155 137 176
LibCell MC156 250 176
LibCell MC157 135 176
LibCell MC158 180 176
LibCell MC159 139 176
LibCell MC160 136 176
LibCell MC161 247 176
LibCell MC162 341 176
LibCell MC163 495 176
LibCell MC164 206 176
LibCell MC165 202 176
LibCell MC166 181 176
LibCell MC167 364 176
LibCell MC168 403 176
LibCell MC169 135 176
LibCell MC170 186 176
LibCell MC171 180 176
LibCell MC172 273 176
LibCell MC173 158 176
LibCell MC174 206 176
LibCell MC175 163 176
LibCell MC176 158 176
LibCell MC177 95 176
LibCell MC178 206 176
LibCell MC179 697 176
LibCell MC180 630 176
LibCell MC181 297 176
LibCell MC182 384 176
LibCell MC183 229 176
LibCell MC184 180 176
LibCell MC185 208 176
LibCell MC186 207 176
LibCell MC187 157 176
LibCell MC188 73 176
LibCell MC189 340 176
LibCell MC190 135 176
LibCell MC191 428 176
LibCell MC192 117 176
